,Data,ID,t_Atendimento_min,t_Projetos_min,t_Logado_min,Disp_%,Meta_Disp,Pontuação,Atraso
7243,2022-02-16,a1R1L000008cZzOUAU,270,0,260,31,Não Bateu,-16,Sim
7244,2022-02-16,a1R1L000008cZzUUAU,420,0,331,28,Não Bateu,-22,Sim
7245,2022-02-16,a1R1L000008dS6CUAU,390,0,346,44,Não Bateu,-15,Sim
7246,2022-02-16,a1R1L000008dS6SUAU,0,0,0,33,-,0,-
7247,2022-02-16,a1R1L000008dS6VUAU,420,0,379,52,Não Bateu,-18,Sim
7248,2022-02-16,a1R1L000008dajzUAA,420,0,368,29,Não Bateu,-19,Sim
7249,2022-02-16,a1R1L000008db60UAA,450,0,431,39,Não Bateu,-20,Sim
7250,2022-02-16,a1R1L000008ddqrUAA,420,0,366,36,Não Bateu,-19,Não
7251,2022-02-16,a1R1L000008ddr1UAA,0,480,0,33,-,0,-
7252,2022-02-16,a1R1L000008deewUAA,0,420,0,33,-,0,-
7253,2022-02-16,a1R1L000008deexUAA,0,0,0,33,-,0,-
7254,2022-02-16,a1R1L000008deeyUAA,0,0,0,33,-,0,-
7255,2022-02-16,a1R1L000008defAUAQ,420,0,375,37,Não Bateu,-18,Sim
7256,2022-02-16,a1R1L000008dfbNUAQ,0,480,0,33,-,0,-
7257,2022-02-16,a1R1L000008dfbPUAQ,420,0,1307,56,Não Bateu,-14,Sim
7258,2022-02-16,a1R1L000008dfbRUAQ,450,0,399,41,Não Bateu,-22,Sim
7259,2022-02-16,a1R1L000008dfbSUAQ,390,0,334,26,Não Bateu,-21,Sim
7260,2022-02-16,a1R1L000008dfjvUAA,420,0,0,0,Não Bateu,-20,Não
7261,2022-02-16,a1R1L000008dfmGUAQ,420,0,0,0,Não Bateu,-19,Não
7262,2022-02-16,a1R1L000008dfmQUAQ,360,60,309,13,Não Bateu,-20,Não
7263,2022-02-16,a1R1L000008dfmaUAA,390,60,286,38,Não Bateu,-20,Não
7264,2022-02-16,a1R1L000008dfnOUAQ,420,0,0,33,-,0,-
7265,2022-02-16,a1R1L000008dfnTUAQ,480,0,190,22,Não Bateu,-20,Sim
7266,2022-02-16,a1R1L000008dhv2UAA,330,90,289,32,Não Bateu,-18,Sim
7267,2022-02-16,a1R1L000008dhvDUAQ,480,0,429,43,Não Bateu,-19,Sim
7268,2022-02-16,a1R1L000008dhvFUAQ,420,60,388,39,Não Bateu,-19,Sim
7269,2022-02-16,a1R1L000008eTN1UAM,480,0,427,43,Não Bateu,-16,Sim
7270,2022-02-16,a1R1L000008eTNJUA2,420,0,403,53,Não Bateu,-6,Sim
7271,2022-02-16,a1R1L000008eTNNUA2,480,0,433,58,Não Bateu,-5,Sim
7272,2022-02-16,a1R1L00000F91tAUAR,390,0,346,41,Não Bateu,-17,Sim
7273,2022-02-16,a1R1L00000F91tDUAR,420,0,366,36,Não Bateu,-18,Sim
7274,2022-02-16,a1R1L00000F91tEUAR,390,60,342,33,Não Bateu,-20,Sim
7275,2022-02-16,a1R1L00000F91tRUAR,420,0,389,38,Não Bateu,-14,Sim
7276,2022-02-16,a1R1L00000F91tSUAR,450,0,391,34,Não Bateu,-17,Sim
7277,2022-02-16,a1R1L00000F91thUAB,420,0,393,29,Não Bateu,-21,Sim
7278,2022-02-16,a1R1L00000F91toUAB,360,120,326,7,Não Bateu,-21,Sim
